0, stage, overall, question, trial, answer
1, local, network, recently, comprehensive, gma
2, race, mile, springs, elliott, dale
3, phase, expect, gap, completion, pratt
4, colonial, indigenous, peru, conquest, accompany
5, greater, voivodeship, lesser, łódź, welch
6, coast, coastal, continental, designate, inland
7, introduce, diet, secular, rasmussen, smallpox
8, thousand, friendship, olive, nationalism, pony
9, hip, hop, rap, rapper, mixtape
10, tank, german, nazi, hitler, resistance
11, williams, maria, venus, monica, helena
12, stronger, clarkson, olson, fig, natal
13, peace, riot, assassination, condemn, urge
14, forest, species, habitat, marsh, shakespeare
15, annual, nichols, domino, year, clover
16, big, austin, jerry, cartoon, randy
17, birmingham, cabin, midland, archer, coventry
18, guy, nathan, fortune, hannah, morse
19, reef, artificial, barrier, coral, elm
20, throw, mills, marx, spear, javelin
21, isbn, paris, les, des, jean
22, islamic, palestine, destruction, iraq, baghdad
23, regard, rather, would, write, indeed
24, phd, caste, mali, senegal, postgraduate
25, europe, raid, viva, turkic, kazan
26, trust, trustee, nhs, rana, katrina
27, pakistan, khan, ali, shah, punjab
28, background, adelaide, safe, contestant, eliminate
29, dedicate, altar, baroque, feast, pilgrim
30, early, important, era, tradition, many
31, radio, broadcast, broadcasting, evening, broadcaster
32, electronic, dna, synthesizer, genome, funk
33, louisiana, penn, rochester, burton, monroe
34, notes, greene, georgetown, fuji, impression
35, pennsylvania, philadelphia, kennedy, franklin, marshall
36, romanian, romania, bucharest, basil, sparrow
37, future, save, ability, claire, noah
38, stable, chuck, ernest, gore, vanderbilt
39, boy, youth, scout, lodge, tata
40, function, alpha, filter, signal, phi
41, word, speak, meaning, dictionary, phrase
42, helen, worst, piper, maid, kara
43, free, cameron, dubai, emirates, essen
44, page, article, editor, edit, encyclopedia
45, cemetery, church, burial, nave, chapel
46, genus, walker, warren, butler, clarke
47, bulgarian, bulgaria, sofia, fuller, implant
48, still, form, today, completely, several
49, outside, expand, expansion, add, begin
50, temple, railway, junction, situate, kerala
51, british, majesty, associated, dove, bragg
52, campbell, stewart, stuart, fields, laurie
53, pirate, pursue, caesar, jasmine, dio
54, frac, mathbf, equation, partial, matrix
55, lake, pond, soil, lakes, ecosystem
56, title, champion, lose, defeat, las
57, beach, wave, surf, rip, mummy
58, hard, davis, double, clay, tennis
59, studio, disney, stop, segment, journey
60, venice, naples, sicily, venetian, verona
61, cox, mit, wesley, sloan, stony
62, sarah, terry, sketch, barker, python
63, studios, interactive, atari, rutherford, amos
64, iii, barry, lutheran, otto, maurice
65, factor, difference, compare, increase, decrease
66, contact, panel, pin, connector, barbados
