0, plota, referencesnotes, demographicsthe, biographyborn, rîurile
1, school, use, state, war, include
2, game, season, album, team, win
3, war, force, use, army, government
4, team, army, force, war, win
5, team, league, army, force, division
6, album, war, army, song, film
7, line, air, station, regiment, album
8, city, station, street, park, church
9, use, system, air, game, car
10, album, band, bar, song, party
11, mathbf, film, station, party, frac
12, album, university, game, music, song
13, race, car, clt, bri, rch
14, game, district, line, station, episode
15, gsm, operational, lte, unknown, telecom
16, game, university, college, right, station
17, film, match, championship, station, world
18, game, county, film, city, population
19, regiment, court, battalion, brigade, division
20, bgcolor, style, rowspan, right, center
21, air, aircraft, center, left, mathbf
22, usa, ale, brewing, left, commend
23, party, left, church, engine, car
24, center, mathbf, game, championship, defeat
25, right, party, frac, university, left
26, line, language, railway, train, clt
27, ret, film, right, court, language
28, church, ale, party, brewing, film
29, commend, highly, church, game, film
30, church, episode, party, line, ret
31, film, line, university, right, water
32, center, right, film, league, align
33, right, episode, frac, series, company
34, mathbf, court, school, file, student
35, frac, ret, center, art, israel
36, language, car, county, engine, vehicle
37, bwv, episode, center, court, commend
38, ret, season, station, king, tax
39, mathbf, water, art, israel, right
40, art, museum, woman, frac, episode
41, september, cell, german, october, school
42, war, german, episode, team, band
43, district, oblast, county, league, cell
44, team, wrestling, film, chinese, championship
45, church, island, ship, episode, language
46, district, oblast, airport, university, rural
47, match, game, station, wrestling, music
48, district, oblast, rural, file, woman
49, district, oblast, language, rural, german
50, airport, party, island, jewish, king
51, tax, art, air, squadron, chart
52, airport, woman, file, nuclear, energy
53, israel, nuclear, cell, language, woman
54, station, art, cell, city, channel
55, air, street, park, state, road
56, german, school, test, airport, road
57, police, county, award, water, service
58, school, art, india, season, theory
59, band, film, tour, color, school
60, city, file, svg, god, san
61, band, water, frac, language, health
62, river, airport, county, music, model
63, school, company, india, cell, file
64, police, card, award, park, southampton
65, editor, police, sound, city, tax
66, race, building, health, test, house
67, county, woman, cell, india, ship
68, card, god, editor, woman, sound
69, batman, race, tax, cell, church
70, editor, county, sound, island, australia
71, award, company, woman, cell, best
72, health, county, batman, medical, patient
73, southampton, race, city, editor, england
74, nuclear, award, new, best, species
75, india, jews, race, jewish, indian
76, card, award, nuclear, book, best
77, southampton, card, york, city, india
78, film, island, nuclear, card, woman
79, nuclear, dnp, tax, san, party
80, southampton, island, barrie, tax, hampshire
81, dnp, island, police, engine, gas
82, state, card, ship, race, football
83, southampton, tax, water, school, car
84, card, island, file, australia, state
85, barrie, dnp, song, football, yard
86, barrie, tax, water, street, color
87, cell, dnp, french, card, league
88, barrie, oil, space, company, court
89, dnp, barrie, street, batman, card
90, dnp, korea, korean, style, south
91, barrie, southampton, division, bank, hampshire
92, dnp, style, southampton, color, background
93, park, isbn, episode, emperor, frac
94, police, french, team, road, earth
95, batman, state, tax, regiment, building
96, tamil, union, french, israel, water
97, engine, park, card, korean, korea
98, state, bank, city, kong, hong
99, frac, partial, team, theatre, song
100, french, kong, hong, wine, island
101, isbn, tax, woman, new, tamil
102, tamil, king, park, island, water
103, batman, song, isbn, oil, french
104, island, tax, company, school, isbn
105, tamil, city, canada, canadian, russian
106, beta, alpha, park, tamil, firefox
107, theatre, alpha, beta, welles, producer
108, kong, hong, energy, san, group
109, theatre, street, file, relation, frac
110, city, isbn, emperor, day, partial
111, theatre, wine, division, release, batman
112, island, group, bridge, city, jews
113, kong, hong, wine, puerto, song
114, tamil, language, ireland, isbn, park
115, tamil, producer, route, welles, bus
116, producer, wine, executive, ireland, irish
117, kong, hong, dog, producer, regiment
118, island, language, san, water, isbn
119, tamil, kong, court, hong, oil
120, bridge, bank, ireland, irish, team
121, law, road, image, line, windows
122, temple, producer, group, court, capacitor
123, style, wine, capacitor, radio, river
124, batman, beta, alpha, company, british
125, dog, kong, hong, minister, style
126, german, city, student, wine, thomas
127, tamil, dog, iran, producer, railway
128, dog, german, woman, language, king
129, feat, producer, species, law, nuclear
130, language, temple, union, employee, wine
131, tamil, canada, police, isbn, child
132, temple, day, saint, language, bridge
133, welles, orson, min, language, minister
134, minister, library, united, century, states
135, welles, orson, min, ireland, division
136, bridge, welles, city, isbn, min
137, dog, model, child, party, wine
138, welles, orson, min, saint, oil
139, dog, stadium, canada, group, union
140, wine, dog, welles, image, color
141, university, wine, language, col, power
142, language, japan, batman, bbc, japanese
143, color, street, class, isbn, college
144, temple, bear, thomas, american, player
145, wine, dog, bridge, health, street
146, tank, horse, iran, park, london
147, feat, remix, nhl, tank, partial
148, division, university, music, albanian, dog
149, stadium, system, tank, town, temple
150, japan, stadium, horse, japanese, ireland
151, library, color, energy, tank, day
152, station, tank, producer, engine, minister
153, library, network, day, woman, cup
154, bus, feat, wine, image, horse
155, horse, capacitor, color, music, bridge
156, club, miss, capacitor, library, tank
157, flag, group, state, japan, library
158, partial, boldsymbol, university, producer, french
159, iran, oil, india, town, day
160, bank, round, council, color, iran
161, partial, boldsymbol, capacitor, color, party
162, miss, bridge, library, isbn, station
163, town, university, feat, bridge, image
164, flag, lake, road, network, law
165, coin, iran, station, lake, division
166, miss, col, feat, cpt, water
167, library, col, law, temple, flag
168, oil, pakistan, polish, cell, coin
169, miss, file, iran, dog, teen
170, synonym, horse, oil, lake, township
171, system, club, bbc, mexico, russian
172, miss, child, coin, synonym, van
173, synonym, college, round, oil, coin
174, polish, bus, poland, flag, synonym
175, club, polish, synonym, iran, child
176, polish, scout, oil, poland, lake
177, score, expressway, group, line, temple
178, round, college, flag, league, day
179, synonym, system, saint, van, memorial
180, feat, radio, bbc, tour, miss
181, van, tank, king, jesus, ford
182, flag, squadron, bus, club, tank
183, polish, police, tour, roman, poland
